Country/Territory,Total Cases,New Cases,Total Deaths,New Deaths
China ,77780,518,2666,71
Republic of Korea ,977,214,10,3
Japan ,157,13,1,0
Singapore ,90,1,0,0
Australia ,22,0,0,0
Malaysia ,22,0,0,0
Viet Nam ,16,0,0,0
Philippines ,3,0,1,0
Cambodia ,1,0,0,0
Thailand ,37,2,0,0
India ,3,0,0,0
Nepal ,1,0,0,0
Sri Lanka ,1,0,0,0
United States of America ,53,18,0,0
Canada ,10,1,0,0
Italy ,229,105,6,4
Germany ,16,0,0,0
France ,12,0,1,0
The United Kingdom ,13,0,0,0
Israel ,2,1,0,0
Russian Federation ,2,0,0,0
Spain ,2,0,0,0
Belgium ,1,0,0,0
Finland ,1,0,0,0
Sweden ,1,0,0,0
Iran (Islamic Republic of) ,61,18,12,4
United Arab Emirates ,13,0,0,0
Bahrain ,8,8,0,0
Kuwait ,8,5,0,0
Oman ,2,2,0,0
Afghanistan ,1,1,0,0
Egypt ,1,0,0,0
Iraq ,1,1,0,0
Lebanon ,1,0,0,0
International conveyance (Japan) ,691,0,3,0
