Country/Territory,Total Cases,New Cases,Total Deaths,New Deaths
China ,80304,130,2946,31
Republic of Korea ,4812,600,28,6
Japan ,268,14,6,0
Singapore ,108,2,0,0
Australia ,33,6,1,0
Malaysia ,29,5,0,0
Viet Nam ,16,0,0,0
Philippines ,3,0,1,0
New Zealand ,2,1,0,0
Cambodia ,1,0,0,0
Italy ,2036,347,52,17
France ,191,91,3,1
Germany ,157,28,0,0
Spain ,114,69,0,0
The United Kingdom ,39,3,0,0
Switzerland ,30,6,0,0
Norway ,25,6,0,0
Austria ,18,8,0,0
Netherlands ,18,5,0,0
Sweden ,15,1,0,0
Israel ,10,3,0,0
Croatia ,8,2,0,0
Iceland ,9,7,0,0
San Marino ,8,7,0,0
Belgium ,8,7,0,0
Finland ,7,1,0,0
Greece ,7,0,0,0
Denmark ,5,1,0,0
Azerbaijan ,3,0,0,0
Czechia ,3,0,0,0
Georgia ,3,0,0,0
Romania ,3,0,0,0
Russian Federation ,3,1,0,0
Portugal ,2,2,0,0
Andorra ,1,1,0,0
Armenia ,1,0,0,0
Belarus ,1,0,0,0
Estonia ,1,0,0,0
Ireland ,1,0,0,0
Latvia ,1,1,0,0
Lithuania ,1,0,0,0
Luxembourg ,1,0,0,0
Monaco ,1,0,0,0
North Macedonia ,1,0,0,0
Thailand ,43,1,1,0
India ,5,2,0,0
Indonesia ,2,0,0,0
Nepal ,1,0,0,0
Sri Lanka ,1,0,0,0
Iran (Islamic Republic of) ,1501,523,66,12
Kuwait ,56,0,0,0
Bahrain ,49,2,0,0
Iraq ,26,7,0,0
Emirates ,21,0,0,0
Lebanon ,13,3,0,0
Qatar ,7,4,0,0
Oman ,6,0,0,0
Pakistan ,5,1,0,0
Egypt ,2,0,0,0
Afghanistan ,1,0,0,0
Jordan ,1,1,0,0
Morocco ,1,1,0,0
Saudi Arabia ,1,1,0,0
Tunisia ,1,1,0,0
The United States ,64,2,2,2
Canada ,27,8,0,0
Ecuador ,6,5,0,0
Mexico ,5,0,0,0
Brazil ,2,0,0,0
Dominican Republic ,1,0,0,0
Algeria ,5,4,0,0
Nigeria ,1,0,0,0
Senegal ,1,1,0,0
International conveyance (Japan) ,706,0,6,0
