Country/Territory,Total Cases,New Cases,Total Deaths,New Deaths
China ,80422,120,2984,38
Republic of Korea ,5328,516,32,4
Japan ,284,16,6,0
Singapore ,110,2,0,0
Malaysia ,50,21,0,0
Australia ,43,10,1,0
Viet Nam ,16,0,0,0
Philippines ,3,0,1,0
New Zealand ,2,0,0,0
Cambodia ,1,0,0,0
Italy ,2502,466,80,28
France ,212,21,4,1
Germany ,196,39,0,0
Spain ,151,37,0,0
The United Kingdom ,51,12,0,0
Switzerland ,37,7,0,0
Norway ,33,7,0,0
Netherlands ,28,10,0,0
Austria ,24,6,0,0
Sweden ,24,9,0,0
Iceland ,16,7,0,0
Israel ,12,2,0,0
Croatia ,9,1,0,0
Belgium ,8,0,0,0
Denmark ,8,3,0,0
San Marino ,8,0,0,0
Finland ,7,0,0,0
Greece ,7,0,0,0
Czechia ,5,2,0,0
Romania ,4,1,0,0
Azerbaijan ,3,0,0,0
Georgia ,3,0,0,0
Russian Federation ,3,0,0,0
Estonia ,2,1,0,0
Ireland ,2,1,0,0
Portugal ,2,0,0,0
Andorra ,1,0,0,0
Armenia ,1,0,0,0
Belarus ,1,0,0,0
Latvia ,1,0,0,0
Lithuania ,1,0,0,0
Luxembourg ,1,0,0,0
Monaco ,1,0,0,0
North Macedonia ,1,0,0,0
Poland ,1,1,0,0
Ukraine ,1,1,0,0
Thailand ,43,0,1,0
India ,6,1,0,0
Indonesia ,2,0,0,0
Nepal ,1,0,0,0
Sri Lanka ,1,0,0,0
Iran (Islamic Republic of) ,2336,835,77,11
Kuwait ,56,0,0,0
Bahrain ,49,0,0,0
Iraq ,31,5,0,0
United Arab Emirates ,27,6,0,0
Lebanon ,13,0,0,0
Oman ,12,6,0,0
Qatar ,8,1,0,0
Pakistan ,5,0,0,0
Egypt ,2,0,0,0
Afghanistan ,1,0,0,0
Jordan ,1,0,0,0
Morocco ,1,0,0,0
Saudi Arabia ,1,0,0,0
Tunisia ,1,0,0,0
The United States ,108,44,6,4
Canada ,30,3,0,0
Ecuador ,7,1,0,0
Mexico ,5,0,0,0
Brazil ,2,0,0,0
Argentina ,1,1,0,0
Chile ,1,1,0,0
Dominican Republic ,1,0,0,0
Algeria ,5,0,0,0
Nigeria ,1,0,0,0
Senegal ,1,0,0,0
International conveyance (Japan) ,706,0,6,0
