Country/Territory,Total Cases,New Cases,Total Deaths,New Deaths
China ,81021,18,3194,14
Republic of Korea ,8086,107,72,6
Japan ,716,41,21,2
Singapore ,200,13,0,0
Australia ,197,57,3,0
Malaysia ,197,68,0,0
Philippines ,64,12,2,0
Viet Nam ,48,9,0,0
Brunei Darussalam ,25,13,0,0
Cambodia ,7,2,0,0
New Zealand ,6,1,0,0
Mongolia ,1,0,0,0
French Polynesia ,1,0,0,0
Italy ,17660,2547,1268,252
Spain ,4231,1266,120,36
France ,3655,782,79,18
Germany ,3062,693,6,0
Switzerland ,1160,271,6,0
Netherlands ,804,190,10,5
The United Kingdom ,803,208,10,2
Denmark ,804,128,0,0
Sweden ,775,155,0,0
Norway ,750,261,1,1
Belgium ,599,285,0,0
Austria ,504,143,1,0
Czechia ,150,34,0,0
Slovenia ,141,84,0,0
Portugal ,112,71,0,0
Finland ,109,0,0,0
Israel ,100,25,0,0
Greece ,98,0,1,0
Ireland ,90,20,1,0
Estonia ,79,66,0,0
San Marino ,66,3,2,0
Romania ,64,16,0,0
Poland ,64,15,1,0
Iceland ,61,0,0,0
Luxembourg ,38,21,1,1
Russian Federation ,34,0,0,0
Albania ,33,10,1,1
Serbia ,31,12,0,0
Slovakia ,30,9,0,0
Croatia ,27,11,0,0
Georgia ,25,0,0,0
Belarus ,21,9,0,0
Hungary ,19,3,0,0
Latvia ,16,0,0,0
Cyprus ,14,8,0,0
Malta ,12,3,0,0
Azerbaijan ,11,0,0,0
Bosnia and Herzegovina ,11,7,0,0
North Macedonia ,9,2,0,0
Armenia ,8,7,0,0
Republic of Moldova ,8,4,0,0
Bulgaria ,7,0,1,0
Lithuania ,6,3,0,0
Turkey ,5,4,0,0
Liechtenstein ,4,0,0,0
Ukraine ,3,0,1,1
Andorra ,2,1,0,0
Monaco ,2,1,0,0
Holy See ,1,0,0,0
Guernsey ,1,0,0,0
Jersey ,2,0,0,0
India ,82,8,2,1
Thailand ,75,0,1,0
Indonesia ,69,35,3,2
Maldives ,9,1,0,0
Sri Lanka ,6,3,0,0
Bangladesh ,3,0,0,0
Bhutan ,1,0,0,0
Nepal ,1,0,0,0
Iran (Islamic Republic of) ,11364,1289,514,85
Qatar ,262,0,0,0
Bahrain ,210,15,0,0
Kuwait ,100,20,0,0
Egypt ,93,26,2,1
Iraq ,93,23,9,2
United Arab Emirates ,85,0,0,0
Lebanon ,77,11,4,1
Saudi Arabia ,62,41,0,0
Pakistan ,21,1,0,0
Oman ,19,1,0,0
Tunisia ,16,9,0,0
Afghanistan ,7,0,0,0
Morocco ,7,1,1,0
Jordan ,1,0,0,0
Sudan ,1,1,0,0
The United States of America ,1678,414,41,5
Canada ,176,38,1,0
Brazil ,98,21,0,0
Chile ,43,10,0,0
Argentina ,34,3,2,1
Peru ,28,6,0,0
Panama ,27,13,1,0
Mexico ,26,14,0,0
Costa Rica ,23,1,0,0
Ecuador ,23,6,0,0
Colombia ,16,7,0,0
Jamaica ,7,6,0,0
Guyana ,6,5,1,0
Paraguay ,6,1,0,0
Dominican Republic ,5,0,0,0
Cuba ,4,1,0,0
Bolivia (Plurinational State of) ,3,0,0,0
Puerto Rico ,3,3,0,0
Honduras ,2,0,0,0
Venezuela (Bolivarian Republic of) ,2,2,0,0
Antigua and Barbuda ,1,1,0,0
Guadeloupe ,1,1,0,0
Saint Vincent and the Grenadines ,1,0,0,0
Trinidad and Tobago ,1,1,0,0
Cayman Islands ,1,1,0,0
Algeria ,26,1,2,1
South Africa ,17,0,0,0
Senegal ,10,0,0,0
Burkina Faso ,2,0,0,0
Cameroon ,2,0,0,0
Democratic Republic of the Congo ,2,1,0,0
Nigeria ,2,0,0,0
Cote d’Ivoire ,1,0,0,0
Ethiopia ,1,1,0,0
Gabon ,1,1,0,0
Ghana ,1,1,0,0
Guinea ,1,1,0,0
Kenya ,1,1,0,0
Togo ,1,0,0,0
Réunion ,5,2,0,0
International conveyance (Japan) ,697,1,7,0
