Country/Territory,Total Cases,New Cases,Total Deaths,New Deaths
China ,80924,20,3140,17
Republic of Korea ,7513,131,54,3
Japan ,514,26,9,2
Singapore ,160,10,0,0
Malaysia ,117,24,0,0
Australia ,92,15,3,0
Philippines ,33,23,1,0
Viet Nam ,31,1,0,0
New Zealand ,5,0,0,0
Cambodia ,2,0,0,0
Brunei Darussalam ,1,1,0,0
Mongolia ,1,1,0,0
Italy ,9172,1797,463,97
France ,1412,286,30,11
Germany ,1139,27,2,2
Spain ,1024,435,28,18
Switzerland ,358,7,2,0
The United Kingdom ,324,46,3,1
Netherlands ,321,56,3,0
Sweden ,248,45,0,0
Belgium ,239,39,0,0
Norway ,192,23,0,0
Austria ,131,19,0,0
Denmark ,92,54,0,0
Greece ,73,0,0,0
Iceland ,55,0,0,0
San Marino ,49,12,2,1
Finland ,40,10,0,0
Israel ,39,0,0,0
Czechia ,38,6,0,0
Portugal ,30,0,0,0
Ireland ,24,3,0,0
Slovenia ,23,7,0,0
Poland ,16,5,0,0
Georgia ,15,2,0,0
Romania ,15,0,0,0
Croatia ,12,1,0,0
Estonia ,10,0,0,0
Azerbaijan ,9,0,0,0
Hungary ,9,0,0,0
North Macedonia ,7,4,0,0
Russian Federation ,7,0,0,0
Slovakia ,7,2,0,0
Belarus ,6,0,0,0
Latvia ,6,3,0,0
Luxembourg ,5,3,0,0
Bulgaria ,4,0,0,0
Malta ,4,1,0,0
Albania ,2,0,0,0
Bosnia and Herzegovina ,2,0,0,0
Cyprus ,2,2,0,0
Andorra ,1,0,0,0
Armenia ,1,0,0,0
Holy See ,1,0,0,0
Liechtenstein ,1,0,0,0
Lithuania ,1,0,0,0
Monaco ,1,0,0,0
Republic of Moldova ,1,0,0,0
Serbia ,1,0,0,0
Ukraine ,1,0,0,0
Guernsey ,1,1,0,0
Thailand ,53,3,1,0
India ,44,1,0,0
Indonesia ,19,13,0,0
Maldives ,4,0,0,0
Bangladesh ,3,0,0,0
Bhutan ,1,0,0,0
Nepal ,1,0,0,0
Sri Lanka ,1,0,0,0
Iran (Islamic Republic of) ,7161,595,237,43
Bahrain ,109,30,0,0
Kuwait ,65,1,0,0
Iraq ,61,1,6,0
Egypt ,59,4,1,0
United Arab Emirates ,59,14,0,0
Lebanon ,41,9,0,0
Oman ,18,2,0,0
Qatar ,18,3,0,0
Pakistan ,16,10,0,0
Saudi Arabia ,15,0,0,0
Afghanistan ,4,0,0,0
Morocco ,2,0,0,0
Tunisia ,2,0,0,0
Jordan ,1,0,0,0
The United States of America ,472,259,19,8
Canada ,77,15,0,0
Brazil ,25,0,0,0
Ecuador ,15,0,0,0
Chile ,13,3,0,0
Argentina ,12,0,1,0
Costa Rica ,9,0,0,0
Peru ,9,3,0,0
Mexico ,7,0,0,0
Dominican Republic ,5,4,0,0
Colombia ,3,2,0,0
Panama ,1,1,0,0
Paraguay ,1,0,0,0
Algeria ,20,0,0,0
South Africa ,7,4,0,0
Senegal ,4,0,0,0
Cameroon ,2,0,0,0
Nigeria ,2,0,0,0
Togo ,1,0,0,0
International conveyance (Japan) ,696,0,7,0
