Country/Territory,Total Cases,New Cases,Total Deaths,New Deaths
China ,80955,31,3162,22
Republic of Korea ,7755,242,60,6
Japan ,568,54,12,3
Singapore ,166,6,0,0
Malaysia ,129,12,0,0
Australia ,112,20,3,0
Philippines ,49,16,1,0
Viet Nam ,35,4,0,0
New Zealand ,5,0,0,0
Cambodia ,3,1,0,0
Brunei Darussalam ,1,0,0,0
Mongolia ,1,0,0,0
Italy ,10149,977,631,168
France ,1785,373,33,3
Spain ,1639,615,36,8
Germany ,1296,157,2,0
Switzerland ,521,163,3,1
Netherlands ,382,61,4,1
The United Kingdom ,374,50,6,3
Sweden ,326,78,0,0
Norway ,277,85,0,0
Belgium ,267,28,0,0
Denmark ,264,172,0,0
Austria ,182,51,0,0
Greece ,89,16,0,0
Israel ,75,36,0,0
San Marino ,63,14,2,0
Czechia ,61,23,0,0
Iceland ,61,0,0,0
Portugal ,41,11,0,0
Finland ,40,0,0,0
Ireland ,34,10,0,0
Slovenia ,31,8,0,0
Romania ,25,10,0,0
Georgia ,23,8,0,0
Poland ,22,6,0,0
Croatia ,16,4,0,0
Estonia ,13,3,0,0
Hungary ,13,4,0,0
Serbia ,12,11,0,0
Albania ,10,8,0,0
Bulgaria ,6,2,0,0
Azerbaijan ,9,0,0,0
Belarus ,9,3,0,0
Latvia ,8,2,0,0
North Macedonia ,7,0,0,0
Russian Federation ,7,0,0,0
Slovakia ,7,0,0,0
Luxembourg ,5,0,0,0
Bosnia and Herzegovina ,4,2,0,0
Malta ,4,0,0,0
Republic of Moldova ,3,2,0,0
Cyprus ,2,0,0,0
Andorra ,1,0,0,0
Armenia ,1,0,0,0
Holy See ,1,0,0,0
Liechtenstein ,1,0,0,0
Lithuania ,1,0,0,0
Monaco ,1,0,0,0
Ukraine ,0,0,0,Imported
Guernsey ,1,0,0,0
India ,60,16,0,0
Thailand ,59,6,1,0
Indonesia ,27,8,1,1
Maldives ,8,4,0,0
Bangladesh ,3,0,0,0
Bhutan ,1,0,0,0
Nepal ,1,0,0,0
Sri Lanka ,1,0,0,0
Iran (Islamic Republic of) ,8042,881,291,54
Bahrain ,110,1,0,0
United Arab Emirates ,74,15,0,0
Kuwait ,69,4,0,0
Iraq ,61,0,6,0
Egypt ,59,0,1,0
Lebanon ,41,9,1,1
Qatar ,24,6,0,0
Saudi Arabia ,20,5,0,0
Oman ,18,0,0,0
Pakistan ,16,0,0,0
Tunisia ,6,4,0,0
Afghanistan ,4,0,0,0
Morocco ,3,1,1,1
Jordan ,1,0,0,0
The United States of America ,696,224,25,6
Canada ,93,16,1,1
Brazil ,34,9,0,0
Argentina ,17,5,1,0
Chile ,17,4,0,0
Ecuador ,15,0,0,0
Costa Rica ,13,4,0,0
Peru ,11,2,0,0
Panama ,8,7,1,1
Paraguay ,5,4,0,0
Mexico ,7,0,0,0
Dominican Republic ,5,0,0,0
Colombia ,3,0,0,0
Bolivia (Plurinational State of) ,2,2,0,0
Jamaica ,1,1,0,0
Algeria ,20,0,0,0
South Africa ,7,0,0,0
Senegal ,4,0,0,0
Burkina Faso ,2,2,0,0
Cameroon ,2,0,0,0
Nigeria ,2,0,0,0
Democratic Republic of the Congo ,1,1,0,0
Togo ,1,0,0,0
International conveyance (Japan) ,696,0,7,0
