Country/Territory,Total Cases,New Cases,Total Deaths,New Deaths
China ,79968,579,2873,35
Republic of Korea ,3736,586,18,1
Japan ,239,9,5,0
Singapore ,102,4,0,0
Australia ,25,1,0,0
Malaysia ,24,0,0,0
Viet Nam ,16,0,0,0
Philippines ,3,0,1,0
Cambodia ,1,0,0,0
New Zealand ,1,0,0,0
Italy ,1128,240,29,8
France ,100,43,2,0
Germany ,57,0,0,0
Spain ,45,13,0,0
The United Kingdom ,23,3,0,0
Switzerland ,18,8,0,0
Norway ,15,9,0,0
Sweden ,13,1,0,0
Austria ,10,5,0,0
Croatia ,7,2,0,0
Israel ,7,2,0,0
Netherlands ,7,5,0,0
Azerbaijan ,3,3,0,0
Denmark ,3,1,0,0
Georgia ,3,1,0,0
Greece ,3,0,0,0
Romania ,3,0,0,0
Finland ,2,0,0,0
Russian Federation ,2,0,0,0
Belarus ,1,0,0,0
Belgium ,1,0,0,0
Estonia ,1,0,0,0
Ireland ,1,1,0,0
Lithuania ,1,0,0,0
Monaco ,1,1,0,0
North Macedonia ,1,0,0,0
San Marino ,1,0,0,0
Thailand ,42,0,0,0
India ,3,0,0,0
Nepal ,1,0,0,0
Sri Lanka ,1,0,0,0
Iran (Islamic Republic of) ,593,205,43,9
Kuwait ,45,0,0,0
Bahrain ,40,2,0,0
United Arab Emirates ,19,0,0,0
Iraq ,13,5,0,0
Oman ,6,0,0,0
Pakistan ,4,2,0,0
Lebanon ,2,0,0,0
Afghanistan ,1,0,0,0
Egypt ,1,0,0,0
Qatar ,1,1,0,0
United States of America ,62,0,0,0
Canada ,19,5,0,0
Brazil ,2,1,0,0
Mexico ,2,0,0,0
Ecuador ,1,1,0,0
Algeria ,1,0,0,0
Nigeria ,1,0,0,0
International conveyance (Japan) ,705,0,6,0
