Country/Territory,Total Cases,New Cases,Total Deaths,New Deaths
China ,81048,27,3204,10
Republic of Korea ,8162,76,75,3
Japan ,780,64,22,1
Australia ,249,52,3,0
Malaysia ,238,41,0,0
Singapore ,212,12,0,0
Philippines ,111,47,6,4
Viet Nam ,53,5,0,0
Brunei Darussalam ,40,15,0,0
Cambodia ,7,0,0,0
New Zealand ,6,0,0,0
Mongolia ,1,0,0,0
French Polynesia ,3,2,0,0
Italy ,21157,3497,1441,173
Spain ,5753,1522,136,16
France ,4489,834,91,12
Germany ,3795,733,8,2
Switzerland ,1397,237,11,5
The United Kingdom ,1145,342,21,11
Netherlands ,959,155,12,2
Sweden ,924,149,0,0
Norway ,907,157,1,0
Denmark ,836,32,0,0
Austria ,800,296,1,0
Belgium ,689,90,0,0
Greece ,228,130,2,1
Czechia ,214,64,0,0
Finland ,210,101,0,0
Israel ,178,78,0,0
Slovenia ,141,0,0,0
Iceland ,138,77,0,0
Ireland ,129,39,2,1
Romania ,123,59,0,0
Portugal ,112,0,0,0
Poland ,111,47,3,2
San Marino ,92,26,5,3
Estonia ,79,0,0,0
Slovakia ,44,14,0,0
Bulgaria ,43,36,2,1
Serbia ,41,10,0,0
Albania ,38,5,1,0
Luxembourg ,38,0,1,0
Croatia ,37,10,0,0
Russian Federation ,34,0,0,0
Hungary ,32,13,0,0
Georgia ,30,5,0,0
Latvia ,30,14,0,0
Belarus ,21,0,0,0
Cyprus ,21,7,0,0
Azerbaijan ,19,8,0,0
Bosnia and Herzegovina ,18,7,0,0
North Macedonia ,13,4,0,0
Malta ,12,0,0,0
Republic of Moldova ,12,4,0,0
Lithuania ,9,3,0,0
Armenia ,8,0,0,0
Kazakhstan ,6,6,0,0
Turkey ,5,0,0,0
Liechtenstein ,4,0,0,0
Ukraine ,3,0,1,0
Andorra ,2,0,0,0
Monaco ,2,0,0,0
Holy See ,1,0,0,0
Guernsey ,1,0,0,0
Jersey ,2,0,0,0
Indonesia ,117,48,4,1
India ,107,25,2,0
Thailand ,75,0,1,0
Sri Lanka ,11,5,0,0
Maldives ,10,1,0,0
Bangladesh ,3,0,0,0
Bhutan ,1,0,0,0
Nepal ,1,,0,0
Iran (Islamic Republic of) ,12729,1365,608,94
Qatar ,337,75,0,0
Bahrain ,211,1,0,0
Kuwait ,112,12,0,0
Saudi Arabia ,103,41,0,0
Egypt ,93,0,2,0
Iraq ,93,0,9,0
Lebanon ,93,16,3,0
United Arab Emirates ,85,0,0,0
Pakistan ,28,7,0,0
Oman ,20,1,0,0
Morocco ,18,11,1,0
Tunisia ,16,0,0,0
Afghanistan ,10,3,0,0
Jordan ,1,0,0,0
Sudan ,1,0,0,0
The United States of America ,1678,0,41,0
Canada ,244,68,1,0
Brazil ,121,23,0,0
Chile ,61,18,0,0
Argentina ,45,11,2,0
Peru ,43,15,0,0
Mexico ,41,15,0,0
Panama ,27,0,1,0
Colombia ,24,8,0,0
Costa Rica ,23,0,0,0
Ecuador ,23,0,0,0
Jamaica ,8,1,0,0
Guyana ,1,0,1,0
Paraguay ,6,0,0,0
Dominican Republic ,5,0,0,0
Cuba ,4,0,0,0
Bolivia (Plurinational State of) ,3,0,0,0
Puerto Rico ,3,0,0,0
Honduras ,2,0,0,0
Venezuela (Bolivarian Republic of) ,2,0,0,0
Antigua and Barbuda ,1,0,0,0
Saint Vincent and the Grenadines ,1,0,0,0
Trinidad and Tobago ,1,0,0,0
Cayman Islands ,1,0,0,0
Guadeloupe ,3,2,0,0
Curaçao ,2,2,0,0
South Africa ,38,21,0,0
Algeria ,37,11,3,1
Senegal ,21,11,0,0
Burkina Faso ,3,1,0,0
Cameroon ,3,1,0,0
Cote d’Ivoire ,3,2,0,0
Democratic Republic of the Congo ,2,0,0,0
Ghana ,2,1,0,0
Namibia ,2,2,0,0
Nigeria ,2,0,0,0
Central African Republic ,1,1,0,0
Congo ,1,1,0,0
Equatorial Guinea ,1,1,0,0
Eswatini ,1,1,0,0
Ethiopia ,1,0,0,0
Gabon ,1,0,0,0
Guinea ,1,0,0,0
Kenya ,1,0,0,0
Mauritania ,1,1,0,0
Togo ,1,0,0,0
Réunion ,6,1,0,0
Mayotte ,1,1,0,0
International conveyance (Japan) ,697,0,7,0
